model,dataset,comparison,limit_a,limit_b,acc_before,acc_after,delta_pp,p_value,cohens_h,significant
AIDC-AIMarco-o1_7b,gsm8k,300→500,300,500,0.16,0.34,18.000000000000004,0.037666922228628774,0.4220331473652905,*
AIDC-AIMarco-o1_7b,gsm8k,500→1000,500,1000,0.34,0.56,22.000000000000004,0.027030076547772452,0.44601936968941813,*
AIDC-AIMarco-o1_7b,gsm8k,1000→2000,1000,2000,0.56,0.54,-2.0000000000000018,0.8406926603054858,-0.04020430236112915,ns
AIDC-AIMarco-o1_7b,gsm8k,2000→4000,2000,4000,0.54,0.54,0.0,1.0,0.0,ns
AIDC-AIMarco-o1_7b,boolq,300→500,300,500,0.92,0.92,0.0,1.0,0.0,ns
AIDC-AIMarco-o1_7b,boolq,500→1000,500,1000,0.92,0.9,-2.0000000000000018,0.7267678061991001,-0.0699880043701877,ns
AIDC-AIMarco-o1_7b,boolq,1000→2000,1000,2000,0.9,0.92,2.0000000000000018,0.7267678061991001,0.0699880043701877,ns
AIDC-AIMarco-o1_7b,boolq,2000→4000,2000,4000,0.92,0.92,0.0,1.0,0.0,ns
AIDC-AIMarco-o1_7b,arc-easy,300→500,300,500,0.4,0.96,55.99999999999999,1.943615490773709e-09,1.3694384060045655,***
AIDC-AIMarco-o1_7b,arc-easy,500→1000,500,1000,0.96,0.96,0.0,1.0,0.0,ns
AIDC-AIMarco-o1_7b,arc-easy,1000→2000,1000,2000,0.96,0.96,0.0,1.0,0.0,ns
AIDC-AIMarco-o1_7b,arc-easy,2000→4000,2000,4000,0.96,0.96,0.0,1.0,0.0,ns
AIDC-AIMarco-o1_7b,gpqa,300→500,300,500,0.44,0.54,10.000000000000004,0.317213700211576,0.20037546242844706,ns
AIDC-AIMarco-o1_7b,gpqa,500→1000,500,1000,0.54,0.3,-24.000000000000004,0.015043809331531488,-0.4916024261011471,*
AIDC-AIMarco-o1_7b,gpqa,1000→2000,1000,2000,0.3,0.26,-3.9999999999999982,0.6560051321908613,-0.08913786633710008,ns
AIDC-AIMarco-o1_7b,gpqa,2000→4000,2000,4000,0.26,0.28,2.0000000000000018,0.8217880671136293,0.04505603900876487,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,gsm8k,300→500,300,500,0.16,0.3,13.999999999999998,0.09623847491147886,0.33624578859243237,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,gsm8k,500→1000,500,1000,0.3,0.38,8.000000000000002,0.39844555266168324,0.16915099502852482,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,gsm8k,1000→2000,1000,2000,0.38,0.46,8.000000000000002,0.4176868199784871,0.1622802710053044,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,gsm8k,2000→4000,2000,4000,0.46,0.44,-2.0000000000000018,0.8406926603054858,-0.04020430236112915,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,boolq,300→500,300,500,0.38,0.44,6.0,0.5418864770324405,0.12207596864417525,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,boolq,500→1000,500,1000,0.44,0.44,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,boolq,1000→2000,1000,2000,0.44,0.44,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,boolq,2000→4000,2000,4000,0.44,0.44,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,arc-easy,300→500,300,500,0.38,0.42,3.9999999999999982,0.6830913983096087,0.08167519808705248,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,arc-easy,500→1000,500,1000,0.42,0.48,6.0,0.5464935954065822,0.12067997859792201,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,arc-easy,1000→2000,1000,2000,0.48,0.48,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,arc-easy,2000→4000,2000,4000,0.48,0.48,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,gpqa,300→500,300,500,0.5,0.4,-9.999999999999998,0.31487864133641996,-0.20135792079033088,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,gpqa,500→1000,500,1000,0.4,0.46,6.0,0.5445360874861696,0.12127234075667181,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,gpqa,1000→2000,1000,2000,0.46,0.44,-2.0000000000000018,0.8406926603054858,-0.04020430236112915,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-1.5B,gpqa,2000→4000,2000,4000,0.44,0.42,-2.0000000000000018,0.8399250963232792,-0.04040077055712277,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gsm8k,300→500,300,500,0.42,0.48,6.0,0.5464935954065822,0.12067997859792201,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gsm8k,500→1000,500,1000,0.48,0.7,21.999999999999996,0.02531706670288769,0.4515275204214768,*
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gsm8k,1000→2000,1000,2000,0.7,0.82,12.0,0.160057346231945,0.28298141955906764,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gsm8k,2000→4000,2000,4000,0.82,0.78,-3.9999999999999925,0.6170750774519744,-0.10011246562549347,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,boolq,300→500,300,500,0.8,0.82,1.9999999999999907,0.79879541546212,0.05099715683327144,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,boolq,500→1000,500,1000,0.82,0.84,2.0000000000000018,0.7900717569416607,0.053264369033364733,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,boolq,1000→2000,1000,2000,0.84,0.84,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,boolq,2000→4000,2000,4000,0.84,0.84,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,arc-easy,300→500,300,500,0.7,0.9,20.000000000000007,0.012419330651552318,0.5157783719341242,*
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,arc-easy,500→1000,500,1000,0.9,1.0,9.999999999999998,0.021781462791119477,0.6435011087932843,*
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,arc-easy,1000→2000,1000,2000,1.0,1.0,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,arc-easy,2000→4000,2000,4000,1.0,1.0,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gpqa,300→500,300,500,0.46,0.5,3.9999999999999982,0.6889205558044609,0.08008558003365907,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gpqa,500→1000,500,1000,0.5,0.64,14.000000000000002,0.15738391422102693,0.2837941092083278,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gpqa,1000→2000,1000,2000,0.64,0.72,7.9999999999999964,0.3911725228101397,0.17180456418749523,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-14B,gpqa,2000→4000,2000,4000,0.72,0.74,2.0000000000000018,0.8217880671136293,0.04505603900876487,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gsm8k,300→500,300,500,0.12,0.24,12.0,0.11834981273562839,0.3164621643196096,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gsm8k,500→1000,500,1000,0.24,0.52,28.000000000000004,0.003922851576590336,0.5868616250499332,**
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gsm8k,1000→2000,1000,2000,0.52,0.66,14.000000000000002,0.15466472775814744,0.28571881294064116,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gsm8k,2000→4000,2000,4000,0.66,0.66,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,boolq,300→500,300,500,0.64,0.68,4.0000000000000036,0.6728787999877,0.08447378422831209,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,boolq,500→1000,500,1000,0.68,0.68,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,boolq,1000→2000,1000,2000,0.68,0.68,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,boolq,2000→4000,2000,4000,0.68,0.68,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,arc-easy,300→500,300,500,0.34,0.6,25.999999999999996,0.009195670158086866,0.5270874080849608,**
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,arc-easy,500→1000,500,1000,0.6,0.92,32.00000000000001,0.00017943103751250078,0.7959253015814691,***
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,arc-easy,1000→2000,1000,2000,0.92,0.94,1.9999999999999907,0.6951092703010286,0.07857897808220082,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,arc-easy,2000→4000,2000,4000,0.94,0.96,2.0000000000000018,0.64635519553949,0.09221828476023397,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gpqa,300→500,300,500,0.62,0.54,-7.9999999999999964,0.41768681997848733,-0.1622802710053044,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gpqa,500→1000,500,1000,0.54,0.7,15.999999999999993,0.09931752713813125,0.331431266033829,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gpqa,1000→2000,1000,2000,0.7,0.68,-1.9999999999999907,0.8288167516463627,-0.04324895263084794,ns
deepseek-aiDeepSeek-R1-Distill-Qwen-7B,gpqa,2000→4000,2000,4000,0.68,0.66,-2.0000000000000018,0.8315845980834438,-0.042538406142009766,ns
nvidiaOpenReasoning-Nemotron-7B,gsm8k,300→500,300,500,0.38,0.42,3.9999999999999982,0.6830913983096087,0.08167519808705248,ns
nvidiaOpenReasoning-Nemotron-7B,gsm8k,500→1000,500,1000,0.42,0.52,10.000000000000004,0.31643784245776785,0.20070132730589996,ns
nvidiaOpenReasoning-Nemotron-7B,gsm8k,1000→2000,1000,2000,0.52,0.64,12.0,0.22411395400885614,0.24378343485433884,ns
nvidiaOpenReasoning-Nemotron-7B,gsm8k,2000→4000,2000,4000,0.64,0.8,16.000000000000004,0.07479137758694421,0.3597069995849562,ns
nvidiaOpenReasoning-Nemotron-7B,boolq,300→500,300,500,0.62,0.68,6.000000000000005,0.5293681061847975,0.12590204239767666,ns
