model,dataset,token_limit,accuracy,n_samples,n_correct,avg_tokens,median_tokens,max_tokens,min_tokens,std_tokens,hit_limit_count,hit_limit_pct
AIDC-AIMarco-o1_7b,gsm8k,300,0.16,50,8,298.78,300.0,300,239,8.62670273047588,49,98.0
AIDC-AIMarco-o1_7b,gsm8k,500,0.34,50,17,494.78,500.0,500,239,36.91097397793778,49,98.0
AIDC-AIMarco-o1_7b,gsm8k,1000,0.56,50,28,961.9,1000.0,1000,239,140.12854885454865,46,92.0
AIDC-AIMarco-o1_7b,gsm8k,2000,0.54,50,27,1853.76,2000.0,2000,239,424.4801651576253,44,88.0
AIDC-AIMarco-o1_7b,gsm8k,4000,0.54,50,27,3464.8,4000.0,4000,239,1211.6561275496326,41,82.0
AIDC-AIMarco-o1_7b,boolq,300,0.92,50,46,198.38,300.0,300,20,124.62873681786367,29,57.99999999999999
AIDC-AIMarco-o1_7b,boolq,500,0.92,50,46,314.38,500.0,500,20,222.55821435190884,29,57.99999999999999
AIDC-AIMarco-o1_7b,boolq,1000,0.9,50,45,596.0,1000.0,1000,20,467.20130695931255,28,56.00000000000001
AIDC-AIMarco-o1_7b,boolq,2000,0.92,50,46,1223.18,2000.0,2000,20,961.5983015112848,30,60.0
AIDC-AIMarco-o1_7b,boolq,4000,0.92,50,46,2423.18,4000.0,4000,20,1951.071361261472,30,60.0
AIDC-AIMarco-o1_7b,arc-easy,300,0.4,50,20,300.0,300.0,300,300,0.0,50,100.0
AIDC-AIMarco-o1_7b,arc-easy,500,0.96,50,48,496.64,500.0,500,332,23.758787847867996,49,98.0
AIDC-AIMarco-o1_7b,arc-easy,1000,0.96,50,48,986.64,1000.0,1000,332,94.46946596652275,49,98.0
AIDC-AIMarco-o1_7b,arc-easy,2000,0.96,50,48,1966.64,2000.0,2000,332,235.89082220383224,49,98.0
AIDC-AIMarco-o1_7b,arc-easy,4000,0.96,50,48,3926.64,4000.0,4000,332,518.7335346784513,49,98.0
AIDC-AIMarco-o1_7b,gpqa,300,0.44,50,22,300.0,300.0,300,300,0.0,50,100.0
AIDC-AIMarco-o1_7b,gpqa,500,0.54,50,27,499.3,500.0,500,465,4.949747468305833,49,98.0
