model,dataset,comparison,limit_a,limit_b,acc_before,acc_after,delta_pp,p_value,cohens_h,significant
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,300→500,300,500,0.56,0.8,24.0,0.010097314647507183,0.523211226398496,*
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,500→1000,500,1000,0.8,0.92,12.0,0.083778449673382,0.35378211357851574,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,1000→2000,1000,2000,0.92,0.96,3.9999999999999925,0.39970292178238376,0.1707972628424348,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,2000→4000,2000,4000,0.96,0.96,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,4000→8000,4000,8000,0.96,0.96,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,300→500,300,500,0.88,0.88,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,500→1000,500,1000,0.88,0.88,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,1000→2000,1000,2000,0.88,0.86,-2.0000000000000018,0.766198917921233,-0.0595107960825243,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,2000→4000,2000,4000,0.86,0.86,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,4000→8000,4000,8000,0.86,0.86,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,300→500,300,500,0.26,0.56,30.000000000000004,0.002289832838614503,0.6209445947993764,**
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,500→1000,500,1000,0.56,0.98,41.99999999999999,6.03452957825823e-07,1.1667123351917812,***
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,1000→2000,1000,2000,0.98,1.0,2.0000000000000018,0.31487864133641974,0.28379410920832715,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,2000→4000,2000,4000,1.0,1.0,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,4000→8000,4000,8000,1.0,1.0,0.0,1.0,0.0,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,300→500,300,500,0.54,0.46,-8.000000000000002,0.4237107971667933,-0.1601711600673179,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,500→1000,500,1000,0.46,0.3,-16.000000000000004,0.09931752713813102,-0.3314312660338292,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,1000→2000,1000,2000,0.3,0.4,10.000000000000004,0.2945073936801099,0.2101589252771574,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,2000→4000,2000,4000,0.4,0.56,16.000000000000004,0.10931457620866625,0.3216478031851189,ns
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,4000→8000,4000,8000,0.56,0.68,12.0,0.21641081558524267,0.2479780110418519,ns
deepseek-r1-685b,gsm8k,300→500,300,500,0.24,0.26,2.0000000000000018,0.8173613313851766,0.046196238291355884,ns
deepseek-r1-685b,gsm8k,500→1000,500,1000,0.26,0.44,18.0,0.059172067825859376,0.38036483000980015,ns
