model,dataset,token_limit,accuracy,n_samples,n_correct,avg_tokens,median_tokens,max_tokens,min_tokens,std_tokens,hit_limit_count,hit_limit_pct
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,300,0.56,50,28,299.24,300.0,300,262,5.374011537017763,49,98.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,500,0.8,50,40,439.52,469.5,500,262,70.17943183769177,23,46.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,1000,0.92,50,46,550.36,469.5,1000,262,217.41062062186307,4,8.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,2000,0.96,50,48,593.2,469.5,2000,262,338.9681822404997,1,2.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,4000,0.96,50,48,633.2,469.5,4000,262,556.543120429998,1,2.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gsm8k,8000,0.96,50,48,713.2,469.5,8000,262,1086.0119140925758,1,2.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,300,0.88,50,44,268.4,300.0,300,9,54.45275053490251,30,60.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,500,0.88,50,44,335.62,318.5,500,9,118.93076188458971,12,24.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,1000,0.88,50,44,411.74,318.5,1000,9,264.6440667024604,7,14.000000000000002
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,2000,0.86,50,43,531.3,318.5,2000,9,553.3510621289017,3,6.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,4000,0.86,50,43,651.3,318.5,4000,9,946.616665945037,3,6.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,boolq,8000,0.86,50,43,891.3,318.5,8000,9,1859.3221965577254,3,6.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,300,0.26,50,13,298.44,300.0,300,222,11.030865786510143,49,98.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,500,0.56,50,28,480.84,500.0,500,222,50.30533708042825,40,80.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,1000,0.98,50,49,611.56,565.0,1000,222,175.4490634843943,2,4.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,2000,1.0,50,50,621.24,565.0,1265,222,201.92174277199976,0,0.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,4000,1.0,50,50,621.24,565.0,1265,222,201.92174277199976,0,0.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,arc-easy,8000,1.0,50,50,621.24,565.0,1265,222,201.92174277199976,0,0.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,300,0.54,50,27,300.0,300.0,300,300,0.0,50,100.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,500,0.46,50,23,500.0,500.0,500,500,0.0,50,100.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,1000,0.3,50,15,985.66,1000.0,1000,640,59.86843057565345,46,92.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,2000,0.4,50,20,1846.76,2000.0,2000,640,359.44961101264647,39,78.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,4000,0.56,50,28,3086.6,3757.0,4000,640,1120.7278611578774,25,50.0
deepseek-aiDeepSeek-R1-Distill-Llama-70B,gpqa,8000,0.68,50,34,4233.24,3858.0,8000,640,2401.100177767156,6,12.0
deepseek-r1-685b,gsm8k,300,0.24,50,12,300.0,300.0,300,300,0.0,50,100.0
deepseek-r1-685b,gsm8k,500,0.26,50,13,500.0,500.0,500,500,0.0,50,100.0
deepseek-r1-685b,gsm8k,1000,0.44,50,22,927.56,1000.0,1000,613,120.70560577415667,35,70.0
